id,title,content
,Cực kì hài lòng,"Mới nhận đôi đầu, đánh giá là tốt, hài lòng. Có tặng bàn chải, khăn lau giày và 1 hộp xi nhỏ. 
Đế bằng cao su, giày da bóng.
Đánh gia 5 sao trong tầm giá 500k"
,Cực kì hài lòng,"hàng đẹp, đóng gói chuẩn. sẽ ủng hộ shop"
,Cực kì hài lòng,"Shop giao hàng nhanh, chuẩn size các bạn nhé. Đợt đầu bị lệch size mình gọi báo shop đổi lại ngay.
Mua kèm phụ kiện đồ đánh giày khá nhiều.
Hàng mới nhìn sang trọng. Tuyệt vời hi. Thanks shop"
,Cực kì hài lòng,"Cảm nhận ban đầu: Rất hài lòng với ngoại quan của sản phẩm, nhìn không khác gì đôi giày Italy tôi đang đi. Da bò thật và đế cao su đúc hy vọng sẽ bền bỉ. 
Shop đóng gói rất chu đáo, trong hộp gồm có: Đôi giày, 1 hộp xi, 1 bàn chải lông, 1 miếng kê gót khi mang giày, 1 khăn cotton cùng phiếu bảo hành và phiếu giảm giá lần sau. SP rất hợp mua làm quà tặng các bạn nhé."
,Cực kì hài lòng,"Đóng gói, mẫu mã, phụ kiện và thẻ bảo hành thì ok, chất lượng da cũng tốt, chỉ không thấy tem mác ghi model, shop cho hỏi làm sao xác định được mình có nhận được đúng loại mình đặt mua hay không?"
,Cực kì hài lòng,"Mới nhận đôi đầu, đánh giá là tốt, hài lòng. Có tặng bàn chải, khăn lau giày và 1 hộp xi nhỏ. 
Đế bằng cao su, giày da bóng.
Đánh gia 5 sao trong tầm giá 500k"
,Cực kì hài lòng,"hàng đẹp, đóng gói chuẩn. sẽ ủng hộ shop"
,Cực kì hài lòng,"Shop giao hàng nhanh, chuẩn size các bạn nhé. Đợt đầu bị lệch size mình gọi báo shop đổi lại ngay.
Mua kèm phụ kiện đồ đánh giày khá nhiều.
Hàng mới nhìn sang trọng. Tuyệt vời hi. Thanks shop"
,Cực kì hài lòng,Hàng đẹp lắm nha mọi người hàng siêu chất lượng luôn ạ nói chung là rấtttt đáng mua luôn ạ giao hàng cũng siêu nhanh không còn gì để nói ạaaaa
,Cực kì hài lòng,"giày đẹp, độ bền để tgian nữa mới biết, bên giao hàng hơi lâu. còn lại tốt đáng mua"
,Cực kì hài lòng,"Giày lên chân rất đẹp, ôm chân, sẽ ủng hộ tiếp"
,Cực kì hài lòng,Rất đẹp và chắc chắn. Nhưng hơi bị rộng shop ơi. Cho mh đổi cỡ bé hơn dc k
,Cực kì hài lòng,"Sản phẩm rất chất lượng, sẽ còn ủng hộ shop ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
,Cực kì hài lòng,Hàng đẹp lắm nha mọi người hàng siêu chất lượng luôn ạ nói chung là rấtttt đáng mua luôn ạ giao hàng cũng siêu nhanh không còn gì để nói ạaaaa
,Cực kì hài lòng,"giày đẹp, độ bền để tgian nữa mới biết, bên giao hàng hơi lâu. còn lại tốt đáng mua"
,Cực kì hài lòng,"Giày lên chân rất đẹp, ôm chân, sẽ ủng hộ tiếp"
,Cực kì hài lòng,Rất đẹp và chắc chắn. Nhưng hơi bị rộng shop ơi. Cho mh đổi cỡ bé hơn dc k
,Cực kì hài lòng,"Sản phẩm rất chất lượng, sẽ còn ủng hộ shop ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
,Cực kì hài lòng,"Tôi sẽ ủng hộ shop này nhiều nữa vì chất lượng thì khỏi bàn, đặc biệt là thái độ và cách thức phục vụ của shop cực kì chuyên nghiệp. Mình mua đôi giày size 42 khá to so với chân của mình nên đã đề nghị shop đổi xuống size 41. Ngay 1-2 ngày sau đã thấy đổi được đôi mới. Đã thế shop còn hỗ trợ phí ship 1 chiều cho mình. Thực sự thích shop này!"
,Cực kì hài lòng,Đây là lần t2 mh quay lại mua giày bên shop .giày bên shop da rất đẹp. Bền mà đi ko bị cấn chân...tuyệt vời 💯💯💯💯💯
,Cực kì hài lòng,Giày quá đẹp. Cám ơn shop
,Cực kì hài lòng,Giày và thắt lưng đúng như hình quảng cao sản phẩm! Còn được tặng bộ dụng cụ đánh giày! Cảm ơn shop!
,Cực kì hài lòng,"Giày đẹp êm chân, rất đáng với số tiền bỏ ra."
,Cực kì hài lòng,"Tôi sẽ ủng hộ shop này nhiều nữa vì chất lượng thì khỏi bàn, đặc biệt là thái độ và cách thức phục vụ của shop cực kì chuyên nghiệp. Mình mua đôi giày size 42 khá to so với chân của mình nên đã đề nghị shop đổi xuống size 41. Ngay 1-2 ngày sau đã thấy đổi được đôi mới. Đã thế shop còn hỗ trợ phí ship 1 chiều cho mình. Thực sự thích shop này!"
,Cực kì hài lòng,Đây là lần t2 mh quay lại mua giày bên shop .giày bên shop da rất đẹp. Bền mà đi ko bị cấn chân...tuyệt vời 💯💯💯💯💯
,Cực kì hài lòng,Giày quá đẹp. Cám ơn shop
,Cực kì hài lòng,Giày và thắt lưng đúng như hình quảng cao sản phẩm! Còn được tặng bộ dụng cụ đánh giày! Cảm ơn shop!
,Cực kì hài lòng,"Giày đẹp êm chân, rất đáng với số tiền bỏ ra."
,Cực kì hài lòng,"Form đẹp, êm chân, giao hàng nhanh và đủ bộ kit vệ sinh. Tuy nhiên mình đi thử 1 vài bước thì thấy dấu hiệu bị nhăn như hình 4. Ncl phù hợp giá tiền"
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,Giày đẹp. 5*. Nhưng miếng lót giày phải bị lẹm 1 góc to nên trừ 1*
,Bình thường,Không như mong đợi. Giao hàng nhan
,Cực kì hài lòng,"Form đẹp, êm chân, giao hàng nhanh và đủ bộ kit vệ sinh. Tuy nhiên mình đi thử 1 vài bước thì thấy dấu hiệu bị nhăn như hình 4. Ncl phù hợp giá tiền"
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,Giày đẹp. 5*. Nhưng miếng lót giày phải bị lẹm 1 góc to nên trừ 1*
,Bình thường,Không như mong đợi. Giao hàng nhan
,Cực kì hài lòng,"Giày đẹp, mang cũng êm chân, Shop còn tặng quà nữa.

Cảm ơn Shop và Tiki nhé!"
,Cực kì hài lòng,"Vừa nhận hàng, đánh giá  luôn...chất da đẹp, kiểu dáng ưng...ôm chân...nên mua...5 sao"
,Cực kì hài lòng,"Sản phẩm đóng gói dc, sản phẩm như hình ảnh"
,Cực kì hài lòng,"Chất liệu mềm, đi vừa vặn, rất đẹp"
,Cực kì hài lòng,"Hàng đẹp, chắc chắn. Hộp xịn sò. Giao hàng nhanh đúng mẫu. Có quà tằng kèm và Thẻ BH 12th rất ...ok"
,Cực kì hài lòng,"Giày đẹp, mang cũng êm chân, Shop còn tặng quà nữa.

Cảm ơn Shop và Tiki nhé!"
,Cực kì hài lòng,"Vừa nhận hàng, đánh giá  luôn...chất da đẹp, kiểu dáng ưng...ôm chân...nên mua...5 sao"
,Cực kì hài lòng,"Sản phẩm đóng gói dc, sản phẩm như hình ảnh"
,Cực kì hài lòng,"Chất liệu mềm, đi vừa vặn, rất đẹp"
,Cực kì hài lòng,"Hàng đẹp, chắc chắn. Hộp xịn sò. Giao hàng nhanh đúng mẫu. Có quà tằng kèm và Thẻ BH 12th rất ...ok"
,Cực kì hài lòng,Hàng đẹp lắm nha mọi người hàng siêu chất lượng luôn ạ nói chung là rấtttt đáng mua luôn ạ giao hàng cũng siêu nhanh không còn gì để nói ạaaaa
,Cực kì hài lòng,"giày đẹp, độ bền để tgian nữa mới biết, bên giao hàng hơi lâu. còn lại tốt đáng mua"
,Cực kì hài lòng,"Giày lên chân rất đẹp, ôm chân, sẽ ủng hộ tiếp"
,Cực kì hài lòng,Rất đẹp và chắc chắn. Nhưng hơi bị rộng shop ơi. Cho mh đổi cỡ bé hơn dc k
,Cực kì hài lòng,"Sản phẩm rất chất lượng, sẽ còn ủng hộ shop ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
,Cực kì hài lòng,Hàng đẹp lắm nha mọi người hàng siêu chất lượng luôn ạ nói chung là rấtttt đáng mua luôn ạ giao hàng cũng siêu nhanh không còn gì để nói ạaaaa
,Cực kì hài lòng,"giày đẹp, độ bền để tgian nữa mới biết, bên giao hàng hơi lâu. còn lại tốt đáng mua"
,Cực kì hài lòng,"Giày lên chân rất đẹp, ôm chân, sẽ ủng hộ tiếp"
,Cực kì hài lòng,Rất đẹp và chắc chắn. Nhưng hơi bị rộng shop ơi. Cho mh đổi cỡ bé hơn dc k
,Cực kì hài lòng,"Sản phẩm rất chất lượng, sẽ còn ủng hộ shop ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
,Cực kì hài lòng,"Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn, có hộp sịn sò là quà tặng rất Oke..."
,Cực kì hài lòng,"Giao hàng nhanh, mẫu mã đẹp, đóng gói kỹ, nhiều quà tặng, tuy nhiên cảm giác lớp sơn sẽ không bền lắm. Để sử dụng một thời gian xem sao"
,Cực kì hài lòng,
,Cực kì hài lòng,"Giầy mình thấy đi 1 lần đã nhăn bề mặt, cạnh bên chân hơi cứng chút ạ, đi lâu ma sát cạnh chân hơi đau"
,Cực kì hài lòng,"Giày đẹp cứng cáp đứng form,  Còn đc tặng thêm khăn lau và xi đánh giày nữa Rất nên mua nha mn"
,Cực kì hài lòng,"Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn, có hộp sịn sò là quà tặng rất Oke..."
,Cực kì hài lòng,"Giao hàng nhanh, mẫu mã đẹp, đóng gói kỹ, nhiều quà tặng, tuy nhiên cảm giác lớp sơn sẽ không bền lắm. Để sử dụng một thời gian xem sao"
,Cực kì hài lòng,
,Cực kì hài lòng,"Giầy mình thấy đi 1 lần đã nhăn bề mặt, cạnh bên chân hơi cứng chút ạ, đi lâu ma sát cạnh chân hơi đau"
,Cực kì hài lòng,"Giày đẹp cứng cáp đứng form,  Còn đc tặng thêm khăn lau và xi đánh giày nữa Rất nên mua nha mn"
,Cực kì hài lòng,"Giày đẹp, mang cũng êm chân, Shop còn tặng quà nữa.

Cảm ơn Shop và Tiki nhé!"
,Cực kì hài lòng,"Vừa nhận hàng, đánh giá  luôn...chất da đẹp, kiểu dáng ưng...ôm chân...nên mua...5 sao"
,Cực kì hài lòng,"Sản phẩm đóng gói dc, sản phẩm như hình ảnh"
,Cực kì hài lòng,"Chất liệu mềm, đi vừa vặn, rất đẹp"
,Cực kì hài lòng,"Hàng đẹp, chắc chắn. Hộp xịn sò. Giao hàng nhanh đúng mẫu. Có quà tằng kèm và Thẻ BH 12th rất ...ok"
,Cực kì hài lòng,"Giày đẹp, mang cũng êm chân, Shop còn tặng quà nữa.

Cảm ơn Shop và Tiki nhé!"
,Cực kì hài lòng,"Vừa nhận hàng, đánh giá  luôn...chất da đẹp, kiểu dáng ưng...ôm chân...nên mua...5 sao"
,Cực kì hài lòng,"Sản phẩm đóng gói dc, sản phẩm như hình ảnh"
,Cực kì hài lòng,"Chất liệu mềm, đi vừa vặn, rất đẹp"
,Cực kì hài lòng,"Hàng đẹp, chắc chắn. Hộp xịn sò. Giao hàng nhanh đúng mẫu. Có quà tằng kèm và Thẻ BH 12th rất ...ok"
,Cực kì hài lòng,"Cảm nhận ban đầu: Rất hài lòng với ngoại quan của sản phẩm, nhìn không khác gì đôi giày Italy tôi đang đi. Da bò thật và đế cao su đúc hy vọng sẽ bền bỉ. 
Shop đóng gói rất chu đáo, trong hộp gồm có: Đôi giày, 1 hộp xi, 1 bàn chải lông, 1 miếng kê gót khi mang giày, 1 khăn cotton cùng phiếu bảo hành và phiếu giảm giá lần sau. SP rất hợp mua làm quà tặng các bạn nhé."
,Cực kì hài lòng,"Đóng gói, mẫu mã, phụ kiện và thẻ bảo hành thì ok, chất lượng da cũng tốt, chỉ không thấy tem mác ghi model, shop cho hỏi làm sao xác định được mình có nhận được đúng loại mình đặt mua hay không?"
,Cực kì hài lòng,"Mới nhận đôi đầu, đánh giá là tốt, hài lòng. Có tặng bàn chải, khăn lau giày và 1 hộp xi nhỏ. 
Đế bằng cao su, giày da bóng.
Đánh gia 5 sao trong tầm giá 500k"
,Cực kì hài lòng,"hàng đẹp, đóng gói chuẩn. sẽ ủng hộ shop"
,Cực kì hài lòng,"Shop giao hàng nhanh, chuẩn size các bạn nhé. Đợt đầu bị lệch size mình gọi báo shop đổi lại ngay.
Mua kèm phụ kiện đồ đánh giày khá nhiều.
Hàng mới nhìn sang trọng. Tuyệt vời hi. Thanks shop"
,Cực kì hài lòng,"Cảm nhận ban đầu: Rất hài lòng với ngoại quan của sản phẩm, nhìn không khác gì đôi giày Italy tôi đang đi. Da bò thật và đế cao su đúc hy vọng sẽ bền bỉ. 
Shop đóng gói rất chu đáo, trong hộp gồm có: Đôi giày, 1 hộp xi, 1 bàn chải lông, 1 miếng kê gót khi mang giày, 1 khăn cotton cùng phiếu bảo hành và phiếu giảm giá lần sau. SP rất hợp mua làm quà tặng các bạn nhé."
,Cực kì hài lòng,"Đóng gói, mẫu mã, phụ kiện và thẻ bảo hành thì ok, chất lượng da cũng tốt, chỉ không thấy tem mác ghi model, shop cho hỏi làm sao xác định được mình có nhận được đúng loại mình đặt mua hay không?"
,Cực kì hài lòng,"Mới nhận đôi đầu, đánh giá là tốt, hài lòng. Có tặng bàn chải, khăn lau giày và 1 hộp xi nhỏ. 
Đế bằng cao su, giày da bóng.
Đánh gia 5 sao trong tầm giá 500k"
,Cực kì hài lòng,"hàng đẹp, đóng gói chuẩn. sẽ ủng hộ shop"
,Cực kì hài lòng,"Shop giao hàng nhanh, chuẩn size các bạn nhé. Đợt đầu bị lệch size mình gọi báo shop đổi lại ngay.
Mua kèm phụ kiện đồ đánh giày khá nhiều.
Hàng mới nhìn sang trọng. Tuyệt vời hi. Thanks shop"
,Cực kì hài lòng,"Giao hàng đúng hẹn, sản phẩm đầy đủ như đơn hàng. Mình đã mua ở đây nhiều lần, chất lượng sản phẩm tốt, Shop luôn duy trì uy tín, chất lượng, giữ vững thương hiệu nhé!"
,Cực kì hài lòng,"Giao hàng nhanh! Sản phẩm giống miêu tả, đi êm chân. Tiếp tục ủng hộ shop."
,Cực kì hài lòng,"Kiểu dáng đẹp, da bóng, form gọn, mua tặng khá ưng"
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,"Giao hàng đúng hẹn, sản phẩm đầy đủ như đơn hàng. Mình đã mua ở đây nhiều lần, chất lượng sản phẩm tốt, Shop luôn duy trì uy tín, chất lượng, giữ vững thương hiệu nhé!"
,Cực kì hài lòng,"Giao hàng nhanh! Sản phẩm giống miêu tả, đi êm chân. Tiếp tục ủng hộ shop."
,Cực kì hài lòng,"Kiểu dáng đẹp, da bóng, form gọn, mua tặng khá ưng"
,Cực kì hài lòng,
,Cực kì hài lòng,
,Cực kì hài lòng,Giày đẹp. Vừa chân. Giao hàng nhanh. Được tặng xi đánh giày bàn chải và khăn lau. Sẽ wuay lại
,Cực kì hài lòng,"Ok đẹp, nhưng so với size của mossa thì như nhau. Không cần tăng size"
,Cực kì hài lòng,"Giao hàng nhanh đóng gói cẩn thận,giầy đẹp"
,Cực kì hài lòng,"Giỳ đẹp, êm chân"
,Cực kì hài lòng,
,Cực kì hài lòng,Giày đẹp. Vừa chân. Giao hàng nhanh. Được tặng xi đánh giày bàn chải và khăn lau. Sẽ wuay lại
,Cực kì hài lòng,"Ok đẹp, nhưng so với size của mossa thì như nhau. Không cần tăng size"
,Cực kì hài lòng,"Giao hàng nhanh đóng gói cẩn thận,giầy đẹp"
,Cực kì hài lòng,"Giỳ đẹp, êm chân"
,Cực kì hài lòng,
,Cực kì hài lòng,"Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn, có hộp sịn sò là quà tặng rất Oke..."
,Cực kì hài lòng,"Giao hàng nhanh, mẫu mã đẹp, đóng gói kỹ, nhiều quà tặng, tuy nhiên cảm giác lớp sơn sẽ không bền lắm. Để sử dụng một thời gian xem sao"
,Cực kì hài lòng,
,Cực kì hài lòng,"Giầy mình thấy đi 1 lần đã nhăn bề mặt, cạnh bên chân hơi cứng chút ạ, đi lâu ma sát cạnh chân hơi đau"
,Cực kì hài lòng,"Giày đẹp cứng cáp đứng form,  Còn đc tặng thêm khăn lau và xi đánh giày nữa Rất nên mua nha mn"
,Cực kì hài lòng,"Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn, có hộp sịn sò là quà tặng rất Oke..."
,Cực kì hài lòng,"Giao hàng nhanh, mẫu mã đẹp, đóng gói kỹ, nhiều quà tặng, tuy nhiên cảm giác lớp sơn sẽ không bền lắm. Để sử dụng một thời gian xem sao"
,Cực kì hài lòng,
,Cực kì hài lòng,"Giầy mình thấy đi 1 lần đã nhăn bề mặt, cạnh bên chân hơi cứng chút ạ, đi lâu ma sát cạnh chân hơi đau"
,Cực kì hài lòng,"Giày đẹp cứng cáp đứng form,  Còn đc tặng thêm khăn lau và xi đánh giày nữa Rất nên mua nha mn"
,Cực kì hài lòng,"Giày đẹp, mang cũng êm chân, Shop còn tặng quà nữa.

Cảm ơn Shop và Tiki nhé!"
,Cực kì hài lòng,"Vừa nhận hàng, đánh giá  luôn...chất da đẹp, kiểu dáng ưng...ôm chân...nên mua...5 sao"
,Cực kì hài lòng,"Sản phẩm đóng gói dc, sản phẩm như hình ảnh"
,Cực kì hài lòng,"Chất liệu mềm, đi vừa vặn, rất đẹp"
,Cực kì hài lòng,"Hàng đẹp, chắc chắn. Hộp xịn sò. Giao hàng nhanh đúng mẫu. Có quà tằng kèm và Thẻ BH 12th rất ...ok"
,Cực kì hài lòng,"Giày đẹp, mang cũng êm chân, Shop còn tặng quà nữa.

Cảm ơn Shop và Tiki nhé!"
,Cực kì hài lòng,"Vừa nhận hàng, đánh giá  luôn...chất da đẹp, kiểu dáng ưng...ôm chân...nên mua...5 sao"
,Cực kì hài lòng,"Sản phẩm đóng gói dc, sản phẩm như hình ảnh"
,Cực kì hài lòng,"Chất liệu mềm, đi vừa vặn, rất đẹp"
,Cực kì hài lòng,"Hàng đẹp, chắc chắn. Hộp xịn sò. Giao hàng nhanh đúng mẫu. Có quà tằng kèm và Thẻ BH 12th rất ...ok"
,Cực kì hài lòng,Hàng đẹp lắm nha mọi người hàng siêu chất lượng luôn ạ nói chung là rấtttt đáng mua luôn ạ giao hàng cũng siêu nhanh không còn gì để nói ạaaaa
,Cực kì hài lòng,"giày đẹp, độ bền để tgian nữa mới biết, bên giao hàng hơi lâu. còn lại tốt đáng mua"
,Cực kì hài lòng,"Giày lên chân rất đẹp, ôm chân, sẽ ủng hộ tiếp"
,Cực kì hài lòng,Rất đẹp và chắc chắn. Nhưng hơi bị rộng shop ơi. Cho mh đổi cỡ bé hơn dc k
,Cực kì hài lòng,"Sản phẩm rất chất lượng, sẽ còn ủng hộ shop ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
,Cực kì hài lòng,Hàng đẹp lắm nha mọi người hàng siêu chất lượng luôn ạ nói chung là rấtttt đáng mua luôn ạ giao hàng cũng siêu nhanh không còn gì để nói ạaaaa
,Cực kì hài lòng,"giày đẹp, độ bền để tgian nữa mới biết, bên giao hàng hơi lâu. còn lại tốt đáng mua"
,Cực kì hài lòng,"Giày lên chân rất đẹp, ôm chân, sẽ ủng hộ tiếp"
,Cực kì hài lòng,Rất đẹp và chắc chắn. Nhưng hơi bị rộng shop ơi. Cho mh đổi cỡ bé hơn dc k
,Cực kì hài lòng,"Sản phẩm rất chất lượng, sẽ còn ủng hộ shop ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
,Cực kì hài lòng,"Cảm nhận ban đầu: Rất hài lòng với ngoại quan của sản phẩm, nhìn không khác gì đôi giày Italy tôi đang đi. Da bò thật và đế cao su đúc hy vọng sẽ bền bỉ. 
Shop đóng gói rất chu đáo, trong hộp gồm có: Đôi giày, 1 hộp xi, 1 bàn chải lông, 1 miếng kê gót khi mang giày, 1 khăn cotton cùng phiếu bảo hành và phiếu giảm giá lần sau. SP rất hợp mua làm quà tặng các bạn nhé."
,Cực kì hài lòng,"Đóng gói, mẫu mã, phụ kiện và thẻ bảo hành thì ok, chất lượng da cũng tốt, chỉ không thấy tem mác ghi model, shop cho hỏi làm sao xác định được mình có nhận được đúng loại mình đặt mua hay không?"
,Cực kì hài lòng,"Mới nhận đôi đầu, đánh giá là tốt, hài lòng. Có tặng bàn chải, khăn lau giày và 1 hộp xi nhỏ. 
Đế bằng cao su, giày da bóng.
Đánh gia 5 sao trong tầm giá 500k"
,Cực kì hài lòng,"hàng đẹp, đóng gói chuẩn. sẽ ủng hộ shop"
,Cực kì hài lòng,"Shop giao hàng nhanh, chuẩn size các bạn nhé. Đợt đầu bị lệch size mình gọi báo shop đổi lại ngay.
Mua kèm phụ kiện đồ đánh giày khá nhiều.
Hàng mới nhìn sang trọng. Tuyệt vời hi. Thanks shop"
,Cực kì hài lòng,"Cảm nhận ban đầu: Rất hài lòng với ngoại quan của sản phẩm, nhìn không khác gì đôi giày Italy tôi đang đi. Da bò thật và đế cao su đúc hy vọng sẽ bền bỉ. 
Shop đóng gói rất chu đáo, trong hộp gồm có: Đôi giày, 1 hộp xi, 1 bàn chải lông, 1 miếng kê gót khi mang giày, 1 khăn cotton cùng phiếu bảo hành và phiếu giảm giá lần sau. SP rất hợp mua làm quà tặng các bạn nhé."
,Cực kì hài lòng,"Đóng gói, mẫu mã, phụ kiện và thẻ bảo hành thì ok, chất lượng da cũng tốt, chỉ không thấy tem mác ghi model, shop cho hỏi làm sao xác định được mình có nhận được đúng loại mình đặt mua hay không?"
,Cực kì hài lòng,"Mới nhận đôi đầu, đánh giá là tốt, hài lòng. Có tặng bàn chải, khăn lau giày và 1 hộp xi nhỏ. 
Đế bằng cao su, giày da bóng.
Đánh gia 5 sao trong tầm giá 500k"
,Cực kì hài lòng,"hàng đẹp, đóng gói chuẩn. sẽ ủng hộ shop"
,Cực kì hài lòng,"Shop giao hàng nhanh, chuẩn size các bạn nhé. Đợt đầu bị lệch size mình gọi báo shop đổi lại ngay.
Mua kèm phụ kiện đồ đánh giày khá nhiều.
Hàng mới nhìn sang trọng. Tuyệt vời hi. Thanks shop"
,Cực kì hài lòng,"Form đẹp, êm chân, giao hàng nhanh và đủ bộ kit vệ sinh. Tuy nhiên mình đi thử 1 vài bước thì thấy dấu hiệu bị nhăn như hình 4. Ncl phù hợp giá tiền"
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,Giày đẹp. 5*. Nhưng miếng lót giày phải bị lẹm 1 góc to nên trừ 1*
,Bình thường,Không như mong đợi. Giao hàng nhan
,Cực kì hài lòng,"Form đẹp, êm chân, giao hàng nhanh và đủ bộ kit vệ sinh. Tuy nhiên mình đi thử 1 vài bước thì thấy dấu hiệu bị nhăn như hình 4. Ncl phù hợp giá tiền"
,Cực kì hài lòng,
,Cực kì hài lòng,
,Hài lòng,Giày đẹp. 5*. Nhưng miếng lót giày phải bị lẹm 1 góc to nên trừ 1*
,Bình thường,Không như mong đợi. Giao hàng nhan
,Cực kì hài lòng,"Tôi sẽ ủng hộ shop này nhiều nữa vì chất lượng thì khỏi bàn, đặc biệt là thái độ và cách thức phục vụ của shop cực kì chuyên nghiệp. Mình mua đôi giày size 42 khá to so với chân của mình nên đã đề nghị shop đổi xuống size 41. Ngay 1-2 ngày sau đã thấy đổi được đôi mới. Đã thế shop còn hỗ trợ phí ship 1 chiều cho mình. Thực sự thích shop này!"
,Cực kì hài lòng,Đây là lần t2 mh quay lại mua giày bên shop .giày bên shop da rất đẹp. Bền mà đi ko bị cấn chân...tuyệt vời 💯💯💯💯💯
,Cực kì hài lòng,Giày quá đẹp. Cám ơn shop
,Cực kì hài lòng,Giày và thắt lưng đúng như hình quảng cao sản phẩm! Còn được tặng bộ dụng cụ đánh giày! Cảm ơn shop!
,Cực kì hài lòng,"Giày đẹp êm chân, rất đáng với số tiền bỏ ra."
,Cực kì hài lòng,"Tôi sẽ ủng hộ shop này nhiều nữa vì chất lượng thì khỏi bàn, đặc biệt là thái độ và cách thức phục vụ của shop cực kì chuyên nghiệp. Mình mua đôi giày size 42 khá to so với chân của mình nên đã đề nghị shop đổi xuống size 41. Ngay 1-2 ngày sau đã thấy đổi được đôi mới. Đã thế shop còn hỗ trợ phí ship 1 chiều cho mình. Thực sự thích shop này!"
